epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,14599.7,1.56431,1.55869,1.39419,0.6285,0.51938,0.56459,0.29039,1.68966,1.61611,1.48645,0.0002377,0.0002377,0.0002377
79,14785.6,1.56034,1.55436,1.39532,0.62889,0.51781,0.56489,0.2904,1.68998,1.61396,1.48649,0.0002278,0.0002278,0.0002278
80,14971.7,1.57029,1.55576,1.39157,0.63323,0.51605,0.5659,0.29071,1.69114,1.61268,1.48675,0.0002179,0.0002179,0.0002179
81,15157.2,1.55566,1.53782,1.3819,0.62808,0.5196,0.56714,0.29109,1.69139,1.60984,1.48647,0.000208,0.000208,0.000208
82,15343.3,1.56003,1.53965,1.3855,0.63236,0.52113,0.56814,0.29167,1.69165,1.60859,1.48628,0.0001981,0.0001981,0.0001981
83,15528.9,1.55848,1.53563,1.38338,0.6319,0.521,0.56796,0.29142,1.69224,1.60799,1.48636,0.0001882,0.0001882,0.0001882
84,15714.8,1.55447,1.53936,1.38245,0.63279,0.52087,0.56797,0.29175,1.69289,1.60722,1.48618,0.0001783,0.0001783,0.0001783
85,15900.4,1.55218,1.53914,1.38309,0.62933,0.52264,0.56849,0.29218,1.69293,1.60591,1.48592,0.0001684,0.0001684,0.0001684
86,16086.7,1.54653,1.5152,1.37753,0.63261,0.52343,0.56958,0.29257,1.69424,1.60429,1.48601,0.0001585,0.0001585,0.0001585
87,16272.4,1.55042,1.52206,1.37889,0.6323,0.52224,0.56973,0.2924,1.69501,1.60311,1.48593,0.0001486,0.0001486,0.0001486
88,16458.1,1.54478,1.51899,1.37713,0.63766,0.52168,0.57127,0.2931,1.69621,1.60263,1.48627,0.0001387,0.0001387,0.0001387
89,16643.8,1.54178,1.51056,1.37405,0.63851,0.52194,0.57146,0.2931,1.69669,1.60252,1.48629,0.0001288,0.0001288,0.0001288
90,16829.7,1.54553,1.51045,1.37412,0.64155,0.51969,0.5711,0.29338,1.69745,1.60221,1.48646,0.0001189,0.0001189,0.0001189
91,17015.3,1.54272,1.51566,1.3737,0.64469,0.51824,0.57193,0.29341,1.69864,1.60203,1.48639,0.000109,0.000109,0.000109
92,17201.3,1.53316,1.50123,1.3703,0.64874,0.51779,0.57333,0.29365,1.69999,1.60046,1.48703,9.91e-05,9.91e-05,9.91e-05
93,17387.1,1.53227,1.48962,1.37071,0.64917,0.51798,0.57319,0.29359,1.70107,1.59958,1.48754,8.92e-05,8.92e-05,8.92e-05
94,17572.8,1.5302,1.48908,1.36649,0.64882,0.51653,0.57287,0.29387,1.7022,1.59934,1.48754,7.93e-05,7.93e-05,7.93e-05
95,17758.4,1.53119,1.49093,1.36845,0.64755,0.51589,0.57302,0.29368,1.70389,1.5979,1.48799,6.94e-05,6.94e-05,6.94e-05
96,17944.2,1.52787,1.48451,1.36761,0.64818,0.51719,0.57358,0.29385,1.70551,1.59742,1.48826,5.95e-05,5.95e-05,5.95e-05
97,18129.8,1.52897,1.48749,1.36727,0.64472,0.51961,0.57431,0.29391,1.70635,1.59728,1.48838,4.96e-05,4.96e-05,4.96e-05
98,18315.4,1.52525,1.48495,1.36445,0.64208,0.52055,0.5742,0.29407,1.7072,1.59624,1.48897,3.97e-05,3.97e-05,3.97e-05
99,18501.2,1.52779,1.47961,1.36371,0.64415,0.51869,0.57402,0.29408,1.70842,1.59621,1.48909,2.98e-05,2.98e-05,2.98e-05
100,18695.1,1.53964,1.42497,1.40671,0.64376,0.52149,0.57463,0.29385,1.71,1.5952,1.48991,1.99e-05,1.99e-05,1.99e-05
